0	0.0579684
7.8869	0.0459202
13.0771	0.0374835
19.1347	0.0290497
25.1903	0.0194082
32.1175	0.012185
39.9164	0.00738029
47.7174	0.00378327
57.2533	0.000192074
65.9281	0.000221176
74.6028	0.000250278
83.2776	0.00027938
91.9544	0.00151622
96.3065	0.00998493
98.9194	0.0160323
101.543	0.0281184
104.164	0.0389968
105.92	0.05108
107.676	0.0631632
109.432	0.0752463
111.188	0.0873295
112.074	0.0982021
112.962	0.110282
114.718	0.122366
115.607	0.134446
117.363	0.146529
118.251	0.158609
119.14	0.17069
120.895	0.182773
121.784	0.194853
122.672	0.206933
123.561	0.219014
124.447	0.229886
125.335	0.241966
126.224	0.254047
127.112	0.266127
128.868	0.27821
129.757	0.29029
130.645	0.302371
131.534	0.314451
132.422	0.326531
133.31	0.338611
134.199	0.350692
135.087	0.362772
135.976	0.374852
137.732	0.386935
137.761	0.403844
138.559	0.363991
139.402	0.349501
141.989	0.341056
145.44	0.330198
148.891	0.31934
153.21	0.308485
156.661	0.297627
160.112	0.286769
163.561	0.274703
166.144	0.263842
168.726	0.251774
170.442	0.24091
173.024	0.228841
175.607	0.21798
177.321	0.205909
179.903	0.19384
181.617	0.181769
183.333	0.170905
185.914	0.158836
187.628	0.146765
189.344	0.135901
191.926	0.123832
193.64	0.111761
195.354	0.0996892
197.937	0.0888283
199.651	0.0767567
201.365	0.0646852
203.079	0.0526137
205.663	0.0417528
207.377	0.0296812
209.958	0.0176126
212.542	0.00675168
216.871	0.00193529
219.492	0.0128136
219.511	0.0236833
220.399	0.0357636
220.477	0.0804498
220.529	0.110643
220.571	0.134798
220.73	0.226586
220.816	0.276103
221.03	0.399292
221.875	0.38601
224.45	0.370318
225.296	0.358244
226.143	0.346169
226.989	0.334095
228.703	0.322023
229.552	0.311157
230.398	0.299082
231.245	0.287008
232.091	0.274933
233.805	0.262862
234.652	0.250787
235.498	0.238713
236.345	0.226638
237.192	0.214564
238.906	0.202492
239.752	0.190418
240.599	0.178343
241.445	0.166269
243.161	0.155405
244.008	0.143331
245.722	0.131259
246.568	0.119185
248.282	0.107113
249.129	0.0950387
250.843	0.0829671
252.557	0.0708956
254.273	0.0600318
255.987	0.0479602
257.701	0.0358887
260.284	0.0250278
262.866	0.0129592
265.452	0.003306
270.65	-0.000299751
275.87	0.00817187
277.619	0.0166318
280.243	0.0287179
283.731	0.0395992
287.22	0.0504805
289.841	0.0613588
294.198	0.072243
297.686	0.0831243
302.908	0.0928036
308.995	0.101278
317.678	0.106138
325.483	0.104957
333.28	0.0989442
339.338	0.0905104
346.263	0.0820795
351.453	0.0736428
357.509	0.0640013
