id1	id2	id3	id4	id5	id6 id7
355 -5.00677797421467e-06 -8.81840169864034e-06 -7.23875047148326e-06 0.00014189115871404 0.000135135296596181 0.00014282878711829
360 -6.66283628181219e-06 -1.0474300167207e-05 -9.10054702929486e-06 0.000144915795617497 0.000137616044254748 0.000145840027774567
365 -8.15506077889161e-06 -1.19055499856469e-05 -1.08192575332122e-05 0.000148291238926688 0.000140389750693956 0.000149178206353431
370 -9.65295185872961e-06 -1.32890206359093e-05 -1.2558392214812e-05 0.000151877803030448 0.000143337417057021 0.000152705774877847
375 -1.13202226614817e-05 -1.4802026906624e-05 -1.44740469936178e-05 0.000155486721424286 0.000146295846716785 0.000156238686924544
380 -1.33045610035687e-05 -1.66140709489948e-05 -1.67048848109808e-05 0.000158877766226685 0.000149054878034069 0.000159544852218686
385 -1.57087914847143e-05 -1.88561521112796e-05 -1.93447945997516e-05 0.000161791921095466 0.000151385369378764 0.00016237615935703
390 -1.83868116474528e-05 -2.13894622156374e-05 -2.22512036742728e-05 0.000164224314417596 0.000153271659489722 0.000164729990765949
395 -2.10558879616407e-05 -2.39190227979691e-05 -2.51544581062468e-05 0.000166369032787673 0.000154866836842291 0.000166794218558254
400 -2.3447149809952e-05 -2.61581165268421e-05 -2.78011060195205e-05 0.000168460151747882 0.000156357980276493 0.000168793805446798
405 -2.55217096967186e-05 -2.8061079652808e-05 -3.01564562548151e-05 0.000170572969238199 0.000157808781599186 0.000170800308307711
410 -2.74592195848022e-05 -2.98173493713527e-05 -3.23904100645311e-05 0.00017258650820805 0.00015912892173694 0.000172697441080459
415 -2.94497273525263e-05 -3.1631915917929e-05 -3.46801349049297e-05 0.000174339932484196 0.000160196668948197 0.00017433196765091
420 -3.15147487195411e-05 -3.35358518763762e-05 -3.70436202759006e-05 0.000175775047571322 0.000160965017298107 0.000175650009732091
425 -3.34100981358443e-05 -3.52791662214802e-05 -3.9252794141742e-05 0.00017704501018263 0.00016154204643974 0.000176799486093098
430 -3.4861067239822e-05 -3.65767525409844e-05 -4.10549986566977e-05 0.000178353693676717 0.000162071605361958 0.000177975544111837
435 -3.56337913940408e-05 -3.71844304520863e-05 -4.22395751162874e-05 0.000179895932469302 0.000162687746613872 0.000179363303663894
440 -3.580404616077e-05 -3.71878629479294e-05 -4.2882669231803e-05 0.000181614585227028 0.000163338752842633 0.00018090808131949
445 -3.55695131042388e-05 -3.68079579131653e-05 -4.3169940028065e-05 0.000183322126470894 0.000163877609996285 0.000182433133954919
450 -3.5147725166329e-05 -3.62935816549115e-05 -4.33008724898265e-05 0.000184779134624708 0.000164121922073248 0.000183715403362315
455 -3.47375782052683e-05 -3.58763059138401e-05 -4.3453372355895e-05 0.000185749550644456 0.000163899366693841 0.000184537757106467
460 -3.42245350559711e-05 -3.5434629519937e-05 -4.35238234803847e-05 0.000186368578234698 0.000163317852984907 0.000185030981337075
465 -3.33329054165166e-05 -3.46634141863422e-05 -4.32702682400254e-05 0.000186978149057869 0.000162630725364927 0.000185516537500176
